0.01	0.138	0.999	0.0002	0.0008	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.02	4.757	0.9983	0.0009	0.0008	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.03	22.406	0.9978	0.0014	0.0008	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.04	57.146	0.9976	0.0018	0.0006	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.05	109.33	0.9974	0.0022	0.0004	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.06	175.732	0.9972	0.0026	0.0002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.07	248.48	0.99704	0.00295	0.00001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.08	315.841	0.997	0.0033	-0.0003	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.09	366.39	0.997	0.0037	-0.0007	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1	394.084	0.9969	0.0041	-0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.105	399.296	0.9969	0.0043	-0.0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.11	400.017	0.9969	0.005	-0.0014	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.115	396.37	0.9969	0.0047	-0.0016	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.12	389.296	0.9969	0.0049	-0.0018	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.13	369.411	0.9969	0.0053	-0.0022	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.14	343.458	0.9969	0.0058	-0.0027	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.15	317.349	0.9969	0.0062	-0.0032	0.00005	0	0	0	0	0	0	0	0	0	0	0	0	0
0.16	291.151	0.9969	0.0067	-0.0037	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0
0.17	267.446	0.997	0.0072	-0.0042	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0
0.18	245.23	0.997	0.0077	-0.0048	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0
0.19	225.733	0.997	0.0082	-0.0053	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0
0.2	207.933	0.997	0.0088	-0.0059	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0
0.22	178.245	0.997	0.00995	-0.0071	0.00015	0	0	0	0	0	0	0	0	0	0	0	0	0
0.24	154.594	0.997	0.0111	-0.0083	0.0002	0	0	0	0	0	0	0	0	0	0	0	0	0
0.26	135.567	0.997	0.0123	-0.0096	0.0002	0.0001	0	0	0	0	0	0	0	0	0	0	0	0
0.28	120.093	0.997	0.0136	-0.0109	0.0002	0.0001	0	0	0	0	0	0	0	0	0	0	0	0
0.3	107.343	0.997	0.0149	-0.0123	0.0003	0.0001	0	0	0	0	0	0	0	0	0	0	0	0
0.32	96.717	0.9969	0.0163	-0.0136	0.0003	0.0001	0	0	0	0	0	0	0	0	0	0	0	0
0.34	87.768	0.9968	0.0177	-0.015	0.0004	0.0001	0	0	0	0	0	0	0	0	0	0	0	0
